tag_chrom,trait_reported,count
7,Protein quantitative trait loci (liver) [AGRN],10
7,Protein quantitative trait loci (liver) [ME1],1
7,QT interval,13211
7,Metabolite levels (small molecules and protein measures) [Glucose],1316
7,C-reactive protein levels [BMI-adjusted],9590
7,Frailty index,336
7,CX3CR1 on CD14- CD16-,417
7,Indoleacetate levels,1449
7,Cataracts (operation),24
7,Phosphatidylcholine-2O_32:0_[M+H]1+ levels,8648
7,Dupuytren's disease,3709
7,Cannabis use disorder,479
7,Psoriasis [fixed],632
7,Medium VLDL particle concentration,11613
7,Intracranial aneurysm,1469
7,Protein quantitative trait loci (liver) [ACSM2B],43
7,Protein quantitative trait loci (liver) [PLEC],52
7,Coronary artery disease [additive model],46
7,Number of self-reported non-cancer illnesses,9887
7,Contracture of palmar fascia [dupuytren's disease],3008
7,Creatine kinase levels,2893
7,Frozen shoulder,711
7,Lymphocyte count,15007
7,Alzheimer's disease or HDL levels (pleiotropy),662
7,Phosphatidylcholine-O_32:0_[M+H]1+/Phosphatidylethanolamine-O_35:0_[M+H]1+ levels,11613
7,Waist-to-hip ratio adjusted for BMI (age <50) [women],1551
7,Gallbladder cancer,2990
7,"Fibromyalgia | non-cancer illness code, self-reported",1946
7,Potassium in urine,83
7,Systolic blood pressure,269348
7,"Blood pressure medication | medication for cholesterol, blood pressure or diabetes",3386
7,Calcium+vitamin d 500units tablet | treatment/medication code,1380
7,Oramorph 10mg/5ml oral solution | treatment/medication code,638
7,Paracetamol | treatment/medication code,167
7,1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels,2076
7,Cognitive ability (MTAG),5603
7,Systemic sclerosis [IcSSc],2130
7,Vitamin b12 preparation | treatment/medication code,979
7,Type 2 diabetes [East Asian],1014
7,Protein quantitative trait loci (liver) [DIABLO],496
7,"Muscle or soft tissue injuries | non-cancer illness code, self-reported",383
7,Other malignant neoplasms of skin (=non-melanoma skin cancer),356
7,Average daytime sound level of noise pollution,76
7,Morning person,28173
7,College or university degree | qualifications,122389
7,Peak insulin response [BMI adjusted],9714
7,"Waist circumference adjusted for BMI in active individuals [EA, men]",217
7,Carotid artery stenosis,29
7,Fibrinogen levels,59781
7,Sphingomyelin(34:1)_[M-CH3]1- levels,9600
7,Total body bone mineral density (age over 60),1916
7,Sphingomyelin_34:0_[M+H]1+ levels,11613
7,Overall health rating,6543
7,Diastolic blood pressure x smoking status (ever vs never) interaction (2df test),1161
7,"Blood protein levels [SEMA3E, 5363_51_3]",419
7,Clozapine-induced cytotoxicity [30x],23
7,Lymphocyte counts,720817
7,Central corneal thickness,63569
7,Fractured/broken bones in last 5 years,1211
7,Insulin levels adjusted for BMI,3649
7,Neck pain or shoulder pain,98
7,Wheeze or whistling in the chest in last year,370
7,"Serum metabolite levels [5alpha-androstan-3beta,17beta-diol disulfate]",588
7,"""Hypothyroidism, strict autoimmune""",162
7,Triglyceride levels x short total sleep time interaction (2df test),6423
7,Diverticular disease of intestine,9124
7,Urinary potassium excretion [EA],649
7,Hemorrhoids,388
7,"""Ulcerative colitis, NAS""",22
7,Depression,31252
7,3mm strong meridian (right),8395
7,Protein C levels,11235
7,RR interval (heart rate),3668
7,Serum galactose-deficient IgA1 levels,2192
7,Educational attainment (college completion),2961
7,Waist circumference adjusted for BMI in active individuals,1911
7,Alzheimer's disease,479
7,1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels,1634
7,LDL cholesterol levels in current drinkers,6603
7,"Blood protein levels [ACHE, 10980_11_3]",14952
7,Plasma homocysteine levels,1444
7,Back pain,1913
7,Urinary albumin-to-creatinine ratio [EA],1286
7,Other joint disorders,1834
7,"Systolic blood pressure [EA, initial]",139
7,Morningness,35036
7,Alcohol intake frequency.,24944
7,Total triglycerides levels,11235
7,"Pediatric areal bone mineral density (radius vs spine & hip discordant skeletal phenotype) [EA, female]",4482
7,Hirschsprung disease [European],189
7,Stroke (ischemic) [LVD],39
7,"Metastasis in stage I-III microsatellite instability low/stable colorectal cancer (time to event) [Recessive, Mixture cure model]",28
7,Body fat distribution (leg fat ratio),13613
7,"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)",30799
7,Basophill percentage,30433
7,Proline levels,14925
7,Electrocardiogram morphology (amplitude at temporal datapoints) [100 ms],1043
7,Serum levels of protein NOG,617
7,"Adenosine 3',5'-cyclic monophosphate (camp) levels",439
7,Intelligence (MTAG),11969
7,N-acetyl-3-methylhistidine levels,1183
7,Whole body water mass,91989
7,Anthropometric traits (multi-trait analysis),298
7,Inflammatory skin disease [Opposed],50
7,Adult body size,46695
7,Schizophrenia vs anorexia nervosa (ordinary least squares (OLS)),24320
7,Salt added to food,3910
7,Waist circumference adjusted for BMI in non-smokers [women],1702
7,Serum levels of protein FLNA,178
7,Age of smoking initiation,4282
7,Protein quantitative trait loci (liver) [ATIC],7
7,Sleep duration,47240
7,Essential hypertension,15408
7,Blood glucose levels,54400
7,Serum levels of protein PCOLCE,5066
7,Duration of walks,15306
7,Phosphatidylcholine-O_31:0_[M+H]1+/Phosphatidylethanolamine-O_34:0_[M+H]1+ levels,6242
7,Average weekly beer plus cider intake,108
7,"""Diseases of arteries, arterioles and capillaries (FINNGEN)""",46
7,Gut microbiota (bacterial taxa) [Eubacterium_ventriosum],10
7,Mood instability,5953
7,Diseases of the musculoskeletal system and connective tissue,1218
7,Acute graft versus host disease in bone marrow transplantation (donor effect),3340
7,Diacylglycerol_36:2_[M+H-H2O]1+ levels,11543
7,IgD on IgD+ CD38+ B cell,2809
7,IgG glycosylation patterns [IgG1 Bn],789
7,Length of time at current address,488
7,Electrocardiogram morphology (amplitude at temporal datapoints) [-108 ms],1073
7,N-acetylhistidine levels,1411
7,Spontaneous preterm birth (maternal effect),14
7,Vertigo of central origin,11
7,Protein quantitative trait loci (liver) [ARHGDIA],12
7,Protein quantitative trait loci (liver) [CYP3A4],2
7,Lifetime smoking index,19046
7,Educational attainment (years of education) [conditional-joint],39183
7,Red blood cell (erythrocyte) count,46297
7,B-cell acute lymphoblastic leukaemia,3792
7,Mouth ulcers | mouth/teeth dental problems,4004
7,"Femoral neck bone geometry and menarche (age at onset) [AAM-W, EA]",304
7,Electrocardiogram morphology (amplitude at temporal datapoints) [104 ms],1043
7,Bone ultrasound measurement (velocity of sound) [male],910
7,Nonsuppurative otitis media,386
7,"""Crohn's disease patients in KELA-register (KELA code 209, or 208 with ICD K50)""",22
7,Diabetic nephropathy (more control exclusions),15
7,Diacylglycerol_36:3_[M+NH4]1+ levels,11613
7,Urolithiasis,13422
7,Alcohol-induced chronic pancreatitis,825
7,Cortical thickness (min-P),12283
7,Electrocardiogram morphology (amplitude at temporal datapoints) [-452 ms],3668
7,Peripheral atherosclerosis,56
7,"""Ischaemic heart disease, wide definition""",233
7,Serum levels of protein HSPB1,1582
7,Risk taking,6946
7,Systemic lupus erythematosus and Systemic sclerosis,2685
7,"Allergic disease (asthma, hay fever or eczema)",4631
7,Age-related hearing impairment (SNP x SNP interaction),1081
7,IgG sialylation phenotypes (multivariate analysis),789
7,Serum metabolite concentrations in chronic kidney disease [N-acetylhistidine],426
7,Triacylglyceride levels [TAG(54:6;0],2
7,High light scatter reticulocyte count,430110
7,Sum neutrophil eosinophil counts,60450
7,Caffeine consumption,69
7,Colon polyp,118
7,Cystic kidney disease,87
7,Waist circumference variance,2199
7,6mm weak meridian (left),14848
7,Soft tissue disorders,1714
7,Diastolic blood pressure [Japanese],1368
7,Subjective wellbeing conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis),133
7,Intrahepatic Cholestasis of Pregnancy (ICP),2800
7,"""Pain (limb, back, neck, head abdominally)""",182
7,Essential hypertension (time to event),2328
7,Metabolite levels [C9H14Ona],198
7,Serum uric acid levels [Japanese],24537
7,Protein quantitative trait loci (liver) [WARS],315
7,Obesity,2086
7,Malignant neoplasm of skin,356
7,Atopic dermatitis (moderate to severe) [general],103
7,"Intra-ocular pressure, goldmann-correlated (left)",8497
7,Verbal-numerical reasoning,5898
7,"Other exercises (eg: swimming, cycling, keep fit, bowling) | types of physical activity in last 4 weeks",4086
7,Hernia of abodminal wall,787
7,Glioblastoma (age-stratified) [Median age-at-diagnosis],328
7,Average evening sound level of noise pollution,76
7,"Irregular heart beat | non-cancer illness code, self-reported",62
7,Protein quantitative trait loci (liver) [TYMP],2
7,Birth weight (MTAG),26269
7,Facial morphology (segment 18),1261
7,Electrocardiogram morphology (amplitude at temporal datapoints) [328 ms],1547
7,"Stomach disorder | non-cancer illness code, self-reported",526
7,Venous thromboembolism (SNP x SNP interaction),13
7,"Abdominal aortic calcification levels [EA, Hispanic]",50
7,Protein quantitative trait loci (liver) [ACLY],4
7,Nonatopic asthma or type 2 diabetes,451
7,Acute lymphoblastic leukemia in childhood (B cell precursor),7294
7,"None of the above | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",3278
7,"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma) [Lung Cancer]",729
7,"Diastolic blood pressure x alcohol consumption interaction (2df test) [AA, Asian, EA]",425
7,Caudate nucleus volume,1577
7,Taking other prescription medications,1315
7,Ever believed in un-real communications or signs,144
7,Ankylosing spondylitis,22
7,Diabetic retinopathy (more control exclusions),8
7,Spherical power (right),8455
7,Apolipoprotein A1 levels,228984
7,Bone ultrasound measurement (broadband ultrasound attenuation) [male],1190
7,Electrocardiogram morphology (amplitude at temporal datapoints) [336 ms],1547
7,Neurofibrillary tangles or cerebral amyloid angiopathy (pleiotropy),12
7,Kidney stones,22618
7,Fasting glucose,46813
7,"Bone mineral density (paediatric, skull)",4392
7,circulating leptin levels,8066
7,Serum levels of protein POGLUT1,9358
7,Chronic obstructive pulmonary disease in never smokers,1049
7,Corneal hysteresis (right),460
7,IgG galactosylation phenotypes (multivariate analysis),789
7,Protein quantitative trait loci (liver) [SERPINA1],2
7,Protein C levels [EA],6330
7,Serum metabolite concentrations in chronic kidney disease [Putrescine],3728
7,"""Diabetes, insuline treatment (Kela reimbursement)""",7187
7,Electrocardiogram morphology (amplitude at temporal datapoints) [334 ms],1547
7,Brain region volumes [cerebellar vermal lobules VIII X],729
7,DHEAS levels,726
7,Pancreatitis,718
7,Degenerative rotator cuff disease surgery,43
7,Bioavailable testosterone levels,68277
7,Activated & secreting CD4 regulatory T cell %CD4+ T cell,943
7,"High cholesterol | non-cancer illness code, self-reported",1653
7,Metabolic traits [caffeine/quinate + 3 other traits],77
7,Non-oily fish intake,11404
7,Triglyceride levels [BMI unadjusted],11601
7,NADPH--cytochrome P450 reductase measurement,24583
7,3mm weak meridian (right),11478
7,Bone properties (heel) [BUA],380
7,Hip circumference adjusted for BMI,50593
7,Serum metabolite levels (CMS) [M_VLDL_L],8648
7,"Hip circumference [EA,women]",782
7,DNA methylation Hannum age acceleration,3234
7,Psoriatic arthropathies,124
7,Lobe attachment (rater-scored or self-reported),1514
7,Hip bone size,5139
7,Number of days/week of moderate physical activity 10+ minutes,3265
7,Age started wearing glasses or contact lenses,303
7,Bitter taste perception [PROP paper],338
7,Protein quantitative trait loci (liver) [MGMT],5
7,Mosaic loss of chromosome Y (Y chromosome dosage),53116
7,Immature reticulocyte fraction,51779
7,Coagulation factor IXab measurement,8721
7,Plasma homocysteine levels (post-methionine load test),5882
7,TPE interval (resting) [women],1314
7,Fracture of radius and ulna,1164
7,Total protein levels x insomnia interaction,415
7,Glimepiride | treatment/medication code,373
7,Blood pressure [Pulse Pressure],139
7,Autoimmune traits (pleiotropy),3445
7,"Waist circumference adjusted for BMI in active individuals [EA,women]",1702
7,Inflammatory bowel disease and other gastroenteritis and colitis,3719
7,2'-o-methylcytidine levels,1554
7,Electrocardiogram morphology (amplitude at temporal datapoints) [320 ms],1547
7,Neurofibrillary tangles,372
7,"Blood protein levels [EA, Semaphorin-3E]",13
7,Ulcerative colitis [EA],23636
7,Birth weight,114950
7,Primary biliary cirrhosis,8038
7,Age of smoking initiation (MTAG),32646
7,Leukocyte telomere length,9337
7,Blood urea nitrogen levels,23455
7,Phosphatidylcholine_32:0_[M+H]1+/Phosphatidylethanolamine_35:0_[M+H]1+/Phosphatidate_37:1_[M+NH4]1+ levels,8648
7,Total body bone mineral density (age 0-15),6066
7,Blood metabolite levels [X-12063],22659
7,Electrocardiogram morphology (amplitude at temporal datapoints) [16 ms],8805
7,"Cholelithiasis/gall stones | non-cancer illness code, self-reported",2972
7,Celiac disease or Rheumatoid arthritis,913
7,Escherichia abundance in stool,274
7,Electrocardiogram morphology (amplitude at temporal datapoints) [200 ms],1043
7,Body fat distribution (arm fat ratio) [males],1247
7,Prostate-specific antigen levels,240
7,Mean platelet (thrombocyte) volume,160189
7,Chronic lymphocytic leukemia,9369
7,Fish oil (including cod liver oil) | mineral and other dietary supplements,112
7,Protein quantitative trait loci (liver) [SH3BGRL],15
7,Protein quantitative trait loci (liver) [RMDN3],12
7,Eosinophil percentage of granulocytes,37369
7,Moderate to vigorous physical activity levels,11821
7,Left-handedness,3985
7,IgG glycosylation patterns [IgG1_G1Nn],789
7,Facial morphology (segment 45),286
7,Protein quantitative trait loci (liver) [GGH],349
7,Filtered coffee intake,69
7,Medication use (antiglaucoma preparations and miotics),17
7,Diastolic blood pressure (cigarette smoking interaction),46
7,White matter microstructure (axial diusivities) [Inferior fronto-occipital fasciculus],25
7,Bipolar I disorder,24667
7,High cholesterol,14122
7,Sedentary behaviour duration,855
7,"Bone mineral density (paediatric, lower limb)",404
7,Ever had prolonged loss of interest in normal activities,8
7,Dehydroepiandrosterone sulphate levels,28710
7,HDL cholesterol levels [EA],2588
7,Pattern 4 | hair/balding pattern,8592
7,Anxiety,1423
7,Electrocardiogram morphology (amplitude at temporal datapoints) [150 ms],1043
7,Estradiol levels,2178
7,TPE interval (resting) [men],1389
7,Systolic blood pressure (cigarette smoking interaction),185
7,Stable angina pectoris,96
7,"Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)",69
7,Number of triplets attempted (right),37
7,Alzheimer's disease (cognitive decline),24
7,Protein quantitative trait loci (liver) [PRSS1],22
7,Diabetes mellitus,12264
7,Cortical thickness,113993
7,Waist-to-hip ratio adjusted for body mass index,5083
7,IgG glycosylation patterns [IgG1 BG1n/G1n],789
7,Doctor diagnosed hayfever or allergic rhinitis,1882
7,Peak expiratory flow (pef),554
7,QRS duration [EA],715
7,"Malignant melanoma | cancer code, self-reported",257
7,Esophageal adenocarcinoma,470
7,Gut microbiota abundance (genus Eubacterium coprostanoligenes group id.11375),34
7,Cognitive performance,17229
7,Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),9686
7,Arm fat mass (right),76483
7,Electrocardiogram morphology (amplitude at temporal datapoints) [308 ms],1547
7,Electrocardiogram morphology (amplitude at temporal datapoints) [324 ms],1547
7,Aspartate aminotransferase platelet ratio index in high alcohol intake,617
7,Angina,76
7,Protein quantitative trait loci (liver) [KRT18],52
7,Threonate levels,96
7,Total body bone mineral density,4243
7,HDL cholesterol x physical activity interaction (2df test),3402
7,Type 2 diabetes or prostate cancer (pleiotropy),2260
7,Allergic rhinitis,993
7,Nervous feelings,881
7,N-formylanthranilic acid levels,106
7,Ever suffered mental distress preventing usual activities,4542
7,Serum metabolite levels (CMS) [S_VLDL_TG],8648
7,"Estimated glomerular filtration rate (creatinine, CKDi25)",816
7,"Blood protein levels [EA, Insulin-like growth factor I]",248
7,"LDL cholesterol levels x smoking (ever vs never smokers) interaction (2df test) [African, trans-ethnic]",92
7,Intercellular adhesion molecule 1 (red blood cell fatty acid level interaction) [DPA_N6],16
7,Arthropathic psoriasis,52
7,Protein quantitative trait loci (liver) [CORO1B],52
7,Tissue-type plasminogen activator measurement,442
7,Serum levels of protein IL5RA,2584
7,IgG glycosylation [IGP69],156
7,Dizziness and giddiness (light-headedness and vertigo),57
7,Subjective wellbeing conditioned on cognitive performance (multi-trait conditioning and joint analysis),117
7,Autism spectrum disorder or schizophrenia,23306
7,Insulin-like growth factor 1 levels,218712
7,CD80 on plasmacytoid Dendritic Cell,500
7,Spherical equivalent or myopia (age of diagnosis),4308
7,"Whooping cough / pertussis | non-cancer illness code, self-reported",1204
7,Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [Hispanic],8553
7,Coagulation Factor X measurement,5132
7,Electrocardiogram morphology (amplitude at temporal datapoints) [204 ms],1043
7,Diaphragmatic hernia,787
7,Hematological and biochemical traits [fasting blood glucose],1348
7,Biological medication for rheuma,22
7,Parkinson's disease or first degree relation to individual with Parkinson's disease,90304
7,Type 2 diabetes [conditional],8422
7,Sphingomyelin_38:1_[M+H]1+ levels,11613
7,Waist-hip ratio,172917
7,Diacylglycerol_44:7_[M+H-H2O]1+ levels,11613
7,Trunk fat-free mass,92576
7,"Bone mineral density (paediatric, skull) [EA]",4392
7,Serum levels of protein CNTNAP2,711
7,Stroke [EA],160
7,Takayasu arteritis,177
7,Occlusion and stenosis of precerebral arteries,48
7,"Blood protein levels [CNTNAP2, 6965_19_3]",1
7,Mean arterial pressure [East Asian],10602
7,"Blood protein levels [GPNMB, 8289_8_3]",42072
7,Impedance of arm (right),70630
7,"Waist-to-hip ratio adjusted for body mass index [EA, women]",5072
7,Nonatopic asthma and/or BMI,1821
7,"Blood protein levels [CHST12, 6626_81_3]",1331
7,Protein quantitative trait loci (liver) [LRG1],737
7,Hard cardiovascular diseases,48
7,Retinal nerve fibre layer (RNFL) thickness,28
7,Late-onset Alzheimer's disease,9364
7,Blood metabolite levels [androsterone sulfate],5068
7,Cerebrospinal fluid biomarker levels [Semaphorin-3E],1552
7,Insulin-related traits (multivariate analysis),3851
7,Varicose veins of lower extremity,4350
7,Nephrolithiasis,629
7,Estimated glomerular filtration rate [EA],599
7,Simvador 10mg tablet | treatment/medication code,413
7,Pulse wave reflection index,75
7,CD14- CD16- Absolute Count,13
7,Serum levels of protein C1GALT1C1,1491
7,Plavix 75mg tablet | treatment/medication code,3125
7,Pediatric areal bone mineral density (radius),10375
7,"For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') | reason for glasses/contact lenses",172
7,Alcohol consumption,20984
7,Glycated hemoglobin levels,57870
7,Hemoglobin,73231
7,Electrocardiogram morphology (amplitude at temporal datapoints) [134 ms],1043
7,"Serum metabolite levels [5alpha-androstan-3beta,17alpha-diol disulfate]",138
7,Physically abused by family as a child,318
7,Suffer from 'nerves',127
7,Highest math class taken (MTAG) [MTAG],88188
7,Diacylglycerol_36:3_[M+H-H2O]1+ levels,11613
7,Vertex-wise sulcal depth,142044
7,Electrocardiogram morphology (amplitude at temporal datapoints) [144 ms],43480
7,"""Hypothyroidism,  other/unspecified""",29176
7,Diverticulosis and diverticulitis,9740
7,Disturbance of activity and attention,7628
7,Cheese intake,3115
7,Electrocardiogram morphology (amplitude at temporal datapoints) [10 ms],4
7,Protein quantitative trait loci (liver) [PRELP],3
7,Electrocardiogram morphology (amplitude at temporal datapoints) [-98 ms],1073
7,Immune reponse to smallpox (secreted IL-1beta) [AA],137
7,Myeloproliferative neoplasms,2409
7,Protein quantitative trait loci (liver) [SPTAN1],892
7,Place of birth in uk - north co-ordinate,428
7,Subjective well-being (MTAG),143
7,Later onset COPD,9
7,Calculus of kidney,11321
7,Blood metabolite levels [X-18601],11822
7,Cigarettes smoked per day (MTAG),12011
7,Cyclizine | treatment/medication code,194
7,LDL levels x fish oil supplementation interaction (2df),355
7,"""Psoriatic arthropathies, ICD10""",22
7,Asthma (mode),27
7,Body fat percentage,83218
7,Smoking initiation (ever regular vs never regular) [Conditioned on chr7:69484366],1169
7,Protein quantitative trait loci (liver) [EIF2B1],129
7,1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels,1720
7,CCR2 on CD62L+ plasmacytoid Dendritic Cell,120
7,Digit length ratio,12
7,HDL cholesterol levels,240333
7,Facial morphology (segment 9),7838
7,Direct bilirubin levels,9424
7,Waist-hip ratio and HDL-C (pairwise),6893
7,Neonatal cytokine/chemokine levels (fetal genetic effect) [CCL24],1362
7,Pork consumption,658
7,Protein quantitative trait loci (liver) [TGM2],9
7,Protein quantitative trait loci (liver) [PYCARD],31
7,CD86 on granulocyte,13
7,"Blood protein levels [SFRP4, 9284_25_3]",92
7,Fish- and plant-related diet,3
7,Age completed full time education,6687
7,Blood metabolite levels [epiandrosterone sulfate],10677
7,Executive inhibition (Stroop WIT and CIT) in attention deficit hyperactivity disorder [Stroop WIT],6491
7,Electrocardiogram morphology (amplitude at temporal datapoints) [314 ms],1547
7,CD127 on CD8+ T cell,177
7,Ismn - isosorbide mononitrate | treatment/medication code,451
7,HDL cholesterol levels in never smokers [African],400
7,LDL cholesterol levels [Trans-ethnic initial],831
7,Migraine and/or systolic blood pressure,438
7,Urinary metabolite levels in chronic kidney disease [andro steroid monosulfate C19H28O6S (1],693
7,Educational attainment (years of education),282544
7,Mean platelet volume,798032
7,Brain region volumes [left pallidum],12260
7,Electrocardiogram morphology (amplitude at temporal datapoints) [98 ms],1043
7,Facial morphology (segment 54),1179
7,Electrocardiogram morphology (amplitude at temporal datapoints) [318 ms],1547
7,High blood pressure | illnesses of mother,796
7,Refractory celiac disease type II,791
7,Electrocardiogram morphology (amplitude at temporal datapoints) [312 ms],1547
7,Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN) [NW-EA],172
7,Schizophrenia (MTAG),92863
7,Osteoporosis,3539
7,Forearm bone mineral density,769
7,Heart rate response to recovery post exercise (20 sec),5188
7,Triglyceride levels x long total sleep time interaction (2df test),5995
7,Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),3931
7,Endothelial growth factor levels [HGF],119
7,Other psoriatic arthropathies,22
7,"Blood pressure measurement (cold pressor test) [MAP, Time 0]",3406
7,"Waist circumference adjusted for body mass index [EA, men]",19900
7,6mm strong meridian (left),6809
7,Whole body fat mass,79348
7,Hormone measurements [Cortisol:DHEAS ratio],693
7,Avoided activities or situations because of previous stressful experience in past month,881
7,Chronic kidney disease [CKD],597
7,Glucuronate levels,5
7,Autoimmune thyroid disease,7205
7,"2,3-dihydroxy-2-methylbutyrate levels",8498
7,Serum metabolite levels (CMS) [Glc],1386
7,Sensorineural hearing loss,2
7,Coffee consumption,99975
7,Frontotemporal dementia with GRN mutation,4505
7,Family history of Alzheimer's disease,15288
7,Caffeine consumption from coffee or tea,44621
7,Invasive breast cancer [mixed effect],4220
7,Electrocardiogram morphology (amplitude at temporal datapoints) [394 ms],1832
7,None of the above | qualifications,1991
7,Hematological parameters [RBC],5066
7,Serum levels of protein EPHB6,1236
7,LDL levels x fish oil supplementation interaction (1df),355
7,"Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test) [AA, Asian, EA]",824
7,Medication use (salicylic acid and derivatives),71
7,Fybogel mebeverine sachet | treatment/medication code,9
7,Vitiligo,7
7,Serum uric acid levels,76844
7,"Blood protein levels [GPNMB, 8240_207_3]",42437
7,Endometriosis,4059
7,"Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction) [EA, women]",1702
7,Triglyceride levels in current drinkers [EA],10005
7,Gut bacterial pathway abundance (P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.),898
7,Morning vs. evening chronotype,8210
7,Melanoma,445
7,Homeostasis model assessment of beta-cell function,1487
7,HDL cholesterol levels x long total sleep time interaction (2df test) [EA],29
7,Granulocyte percentage of myeloid white cells,85445
7,Chronic obstructive pulmonary disease x ever smoker interaction (2df),10425
7,Eosinophill count,75749
7,"Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction) [EA, women]",1702
7,IgG glycosylation patterns [IgG1 Bn/Fn total],789
7,Serum levels of protein IL7,617
7,"Other (e.g. cornflakes, frosties) | cereal type",4480
7,Number of incorrect matches in round,6433
7,Leg fat percentage (right),52078
7,IgG N-glycosylation phenotypes (multivariate analysis),2251
7,Corneal resistance factor (right),1831
7,Colorectal cancer,7040
7,Ingesting alcohol or a recreational or illicit drug | methods of self-harm used,174
7,Hearing difficulty/problems with background noise,403
7,Malignant neoplasm of prostate,410
7,"None of the above | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",3404
7,Electrocardiogram morphology (amplitude at temporal datapoints) [142 ms],1043
7,Worry too long after an embarrassing experience,1443
7,Serum metabolite levels [16a-hydroxy DHEA 3-sulfate],588
7,Apple intake,479
7,High density lipoprotein cholesterol levels,131268
7,Bitter non-alcoholic beverage consumption,37823
7,Morning/evening person (chronotype),15218
7,Meat-related diet [female],7012
7,Myeloproliferative diseases (CML excluded),2388
7,Electrocardiogram morphology (amplitude at temporal datapoints) [296 ms],1547
7,Medication use (antimigraine preparations),438
7,Phenylacetylglutamine levels,2
7,Electrocardiogram morphology (amplitude at temporal datapoints) [164 ms],1043
7,Leukocyte telomere length [East Asian],8027
7,Citramalate levels,3959
7,Electrocardiogram morphology (amplitude at temporal datapoints) [290 ms],1547
7,Life satisfaction,4422
7,Fasting plasma glucose [Non diabetics],1386
7,Arm fat-free mass (left),63597
7,"Hypertension | non-cancer illness code, self-reported",35267
7,Other abdominal problem,961
7,Beta-alanine levels,239
7,Large artery stroke (CCS and TOAST classification),48
7,C-reactive protein levels or HDL-cholesterol levels (pleiotropy),8111
7,Alcohol consumption (drinks per week),53749
7,Metabolite levels (lipoprotein measures) [Phospholipids in large LDL],613
7,Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [Hispanic],7898
7,Tacrolimus trough concentration in kidney transplant patients,453
7,SAPHO syndrome,323
7,Gout,16946
7,Plasmacytoid Dendritic Cell Absolute Count,417
7,Unspecified acute lower respiratory infection,42
7,Cognitive aspects of educational attainment,24422
7,Estrone-3-glucuronide levels,726
7,Keratinocyte cancer (MTAG),10733
7,Persistent chemotherapy-induced alopecia in breast cancer,467
7,Sjögren's syndrome,5823
7,Two-hour glucose,1923
7,Amyloid beta positivity,3018
7,"Bone mineral density (paediatric, total body less head) [EA]",769
7,Urate levels,281408
7,Word interpolation | fi3 ,605
7,Mean corpuscular hemoglobin concentration,153631
7,Retinoic acid receptor responder protein 2 levels,42660
7,Femur bone mineral density x serum urate levels interaction,1922
7,Fractures,4256
7,Electrocardiogram morphology (amplitude at temporal datapoints) [298 ms],1547
7,Electrocardiogram morphology (amplitude at temporal datapoints) [326 ms],1547
7,Diastolic blood pressure [East Asian],1278
7,Systolic blood pressure and diastolic blood pressure (bivariate analysis),184
7,Astigmatism angle (left),42242
7,None of the above | types of physical activity in last 4 weeks,5922
7,Electrocardiogram morphology (amplitude at temporal datapoints) [294 ms],1547
7,Pattern 2 | hair/balding pattern,1658
7,Waist-to-hip ratio adjusted for BMI in active individuals,1607
7,Fibrosis-4 index in high alcohol intake,617
7,Colorectal cancer x fine particulate matter exposure levels interaction,291
7,Other arthritis (FG),144
7,Protein quantitative trait loci (liver) [KRT8],52
7,Sarcoidosis,19583
7,Fasting insulin,19024
7,Glucose levels,29957
7,Potassium levels,1546
7,Electrocardiogram morphology (amplitude at temporal datapoints) [132 ms],1043
7,BMI in non-smokers,820
7,"Diastolic blood pressure [EA, initial]",1207
7,"LDL cholesterol levels [African, trans-ethnic]",92
7,X-12007 levels,473
7,Periventricular white matter hyperintensities,160
7,Subjective wellbeing conditioned on self-rated math ability (multi-trait conditioning and joint analysis),114
7,Tannerellaceae abundance in stool,28
7,"Triglyceride levels [Asian initial, BMI unadjusted]",10804
7,Vegetable consumption,156
7,Plasma free amino acid levels [His],22
7,Inflammatory bowel disease [EA],62341
7,Pediatric areal bone mineral density (radius vs spine & hip discordant skeletal phenotype),4482
7,Blood sugar levels,1432
7,Cortical surface area [Cuneus],291
7,Caffeine consumption from tea,36337
